Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Pseudodiadema  0222000301 0002000000 0000000011 10000-0000 000003?000 001-0-000- 000------- -0 
Glyphopneustes  0221001310 0002000000 0020000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Echinus 0221011310 0002000000 0000022011 00000-0000 00000-3000 001-0-000- 000------- -0 
Echinometra  0222001430 0002000000 0000022011 00000-0000 00000-3000 001-0-000- 000------- -0 
Parasalenia  0221001310 0002000000 0000000011 10000-0000 0000013000 001-0-000- 000------- -0 
Parechinus  0221001310 0002000000 0000022011 00000-0000 00000-3000 001-0-000- 000------- -0 
Strongylocent  0222001430 0002000000 0000022011 00000-0000 00000-3000 001-0-000- 000------- -0 
Toxopneustes  0221011310 0002000000 0000022011 00000-0000 00000-3000 001-0-000- 000------- -0 
Trigonocidaris  0221001310 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Temnopleurus  0221001310 0002000000 0000000011 00000-0000 00000-3000 001-0-000- 000------- -0 
Zeuglopleurus  0221000300 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Glyphocyphus  0221000300 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Conulus   020-0-131? 0000000000 0000000011 10000-0000 000003?000 001-0-000- 000------- -0 
Galerites  000-0----- 0000000000 0000000011 00000-0000 000000?000 001-0-000- 000------- -0 
Echinoneus  020-0-131? 0000000000 0000000011 00000-0000 0000003000 001-0-000- 000------- -0  
Neoglobator  010-0-131? 0000000000 0000000011 00000-0000 000003?000 001-0-000- 000------- -0 
Anorthopygus  000-0--3-- 0000000000 0000000011 00000-0000 000000?000 001-0-000- 000------- -0 
Coenholectypus  010-0-030- 0000000000 0000000011 00000-0000 000000?000 001-0-000- 000------- -0 
Discoides  010-0-131? 0000000000 0000000011 00000-0000 000000?000 001-0-000- 000------- -0 
Holectypus  010-0-030- 0000000000 0000000011 00000-0000 0000003000 001-0-000- 000------- -0 
Pygaster  010-0-030- 0000000000 0000000011 00000-0000 000000?000 001-0-000- 000------- -0 
Desorella  140-0-030- 0000000000 0000000011 00000-00?0 000002?000 001-0-000- 000------- -? 
Collyritis  140-0-030- 0000000000 0000000010 01000-00?1 000001?000 001-1-000- 000------- -0 
Disaster  100-0--0-- 0000000000 0000000000 01000-00?1 010001?100 001-1-000- 000------- -1  
Pygorhytis  140-0-331? 0000000000 0000000012 10000-0001 000002?000 001-0-000- 000------- -0 
Hyboclypus  140-0-331? 0000000000 0000000012 10000-0000 000002?000 001-0-000- 000------- -0 
Tithonia  100-0----- 0000000000 0030000000 0?000-00?1 0?0001?011 001-1-000- -00------- -1 
Acrolusia  1?0-0-?--- 0000?00000 0010?000?? ??0?0-00?? ???????00? 1010000000 010------- -? 
