Echinus 1000000 0-0-002100 0000-00000 0 00002----- 012010-100 5150000000 11 2010-0- 221011310 2000000 22011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-1A 0A00-10001 100000--00 20000 100 2000120210 0 1101011101 111 000-00000 10 201000-000 00?00-0000 0---- 
Echinometra 2001000000 0-0-002100 0000-00000 11 00002----- 012010-100 5150010000 00000000a1 0010-0- 222001430 2000000 22011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-00002 100000--00 20000 100 2000120210 0 1101011111 111 000-00000 10 201000-000 00?00-0000 0---- 
Parasalenia 2001000000 0-0-002100 0000-00000 0 00002----- 012010-100 5150000000 1 0110-0- 221001310 2000000 11 10000-0000 13000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-00001 100000--00 20000 100 2000120210 0 1101011101 111 000-00000 10 201?00-000 00?00-0000 0---- 
Parechinus 1000000 0-0-002100 0000-00000 0 101110 012010-100 5150010000 10000011 2010-0- 221001310 2000000 22011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-10001 100000--00 20000 100 2000220210 0 1101011101 111 000-00000 10 201000-000 00?00-0000 0---- 
Strongylocent 1000000 0-0-002100 0000-00000 11 101110 012010-100 5150010000 11 2010-0- 222001430 2000000 22011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-10002 100000--00 20000 100 2000120210 0 1101011111 111 000-00000 10 201000-000 00?00-0000 0---- 
Toxopneustes 1000000 0-0-002100 0000-00000 0 101110 012010-100 5150010000 1 2010-0- 221011310 2000000 22011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-10001 100000--00 20000 120 2000120210 0 1101011111 111 000-00000 10 201000-000 00?00-0000 0---- 
Trigonocidaris 1000000 0-0-002100 0002-10000 0 00002----- 012000-100 5150000000 20000011 2010-?- 221001310 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-10011 001000--00 20000 100 2000??0200 0 1101011101 111 000-00000 000000001? 201?00-000 00?00-0000 0---- 
Temnopleurus 1000000 0-0-002100 10200000 0 00002----- 012000-100 5150000000 10000011 2010-0- 221001310 2000000 11 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-10011 000000--00 20000 100 2000220210 0 1? 1101011101 111 000-00000 11 201000-000 00?00-0000 0---- 
Zeuglopleurus 1000000 0-0-002100 12210000 0000?? 101110 012000-110 5150000000 22 20?0-0- 221000300 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-10011 001000--00 20000 100 ????220200 0 11?1?????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Glyphocyphus 1000000 0-0-002100 10210000 0000?? 0 012000-100 5150000000 00001000a1 ???0-0- 221000300 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-10211 001000--00 20000 100 ????220200 0 11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Conulus 1011000000 0-0-002100 0000-00100 0000?? 0210------ 0B4100-100 4140010000 1 ???3703 020-0-131? 0 11 10000-0000 000003?000 001-0-000- 000------- 0 1000000000 0 20??0000?0 200-101000 0000-10221 -00000--10 20000 01000000-0 00000-0000 0?------?- ------? ??0-0000? 00000001?? ????000000 00?00-0000 0----
Galerites 11000000 0-0-002100 0000-01100 11 0210------ 023100-100 41400A0000 1 ???3703 000-0----- 0 11 00000-0000 000000?000 001-0-000- 000------- 0 1000000000 0 20??000020 200-101100 0000-10221 -00000--10 20000 01000000-0 00?00-0000 1? 0?------?- ------? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Echinoneus 1001000000 0-0-002100 0000-01100 11 0210------ 023100-000 41400A0000 1 D014207 020-0-131? 0 11 00000-0000 3000 001-0-000- 000------- 0 1000000000 1000000 20000000F0 200-101100 0000-10001 -00000--00 20000 02200000-0 00000-0000 0 101012001 0000?1? 0?0-00000 111 2002000000 00?00-0000 0---- 
Neoglobator 1000000 0-0-002100 0000-0??00 0000?? 0210------ 023100-100 4140000000 1 ???3703 010-0-131? 0 11 00000-0000 000003?000 001-0-000- 000------- 0 1??000???? 0000??0000 20??0????0 ?00-?01000 0000-10221 -00000--10 20000 01000000-0 00?00-???? ?? ?????????? ??????? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Anorthopygus 1000000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 1 1011707 000-0--3-- 0 11 00000-0000 000000?000 001-0-000- 000------- 0 11?000---- 0000--0000 20??0----0 -00--01100 0000-10221 -00000--10 20000 200000100 ????0-0c00 0? 11???????? ??????? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Coenholectypus 1000000 0-0-002100 0000-00000 0000?? 0210------ 002100-000 5150010000 1 ???3206 010-0-030- 0 11 00000-0000 000000?000 001-0-000- 000------- 0 11?000---- 0000--0000 20010----0 -00--01010 1000-00221 -00100--10 20000 200000110 ????0-0200 0? 11???????? ??????? ????????? ???0?0?0?? ????100000 00?00-0000 0---- 
Discoides 1000000 0-0-002100 0000-00001 0 0210------ 002100-000 5140010000 1 1014206 010-0-131? 0 11 00000-0000 000000?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00010 1000-00221 -00000--10 20000 200000100 ????120c00 0? 11???????? ??????? ????????? ???0?0?011 2000100000 00?00-0000 0---- 
Holectypus 1000000 0-0-002100 0000-00000 11 0210------ 002100-000 5140010000 1 ???4206 010-0-030- 0 11 00000-0000 3000 001-0-000- 000------- 0 110000---- 0000--0000 20?00----0 -00--01010 1000-00221 -00100--10 20000 200000110 00000-0200 0? 1101012001 111 0?0-0000? 11 2000100000 00?00-0000 0---- 
Pygaster 1000000 0-0-002100 0000-00000 0000?? 0000-01110 011A10-010 4140010000 2 ???1909 010-0-030- 0 11 00000-0000 000000?000 001-0-000- 000------- 0 110000---- 0000--0000 20?00----0 -00--01010 1000-00201 -00100--10 20000 200000110 ????0-0200 0? 11?1??2??1 0?00??1 ????0000? 000000001? ????10-000 00?00-0000 0---- 
Desorella 1001000000 0-0-002100 0000-00000 0000?? 0220------ 110011010 4140?00000 1 ???29?7 140-0-030- 0 11 00000-00?0 000002?000 001-0-000- 000------- -? 1000000000 00000-0000 20??000030 200-??1000 0000-10221 -00000--10 20000 10300000-0 ????0-0c00 0 0?------?- ----?-? ????????? ???0?0?1?? ????000000 00000-0000 0---- 
Collyritis 1001000000 0-0-002100 0000-00000 11 0221------ 224000-000 4140000000 100001 ???29?3 140-0-030- 0 10 01000-00?1 000001?000 001-1-000- 000------- 0 1000000000 410000 2000021270 200-101000 0000-10221 -00000--10 20000 00000100-0 00?00-0000 0 0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Disaster 1001000000 0-0-002100 0000-00000 11 1111-01110 021100-100 4140010000 1 ???29?6 100-0--0-- 0 0 01000-00?1 010001?100 001-1-000- 000------- -1 100000A00A 100000 20000??C30 200-101000 0000-10221 -00000--10 1220000 00000100-0 00?00-???? ?? 0?------?- ------? ????????? ???0?0?011 2002000000 00000-0000 0---- 
